Message ID,UUID,Sequence,Child's Age in Weeks,Message Type,TXT4Tots Message,Country,memberType
1001,8c6ecbc3-d09b-405e-bc47-cdba48f9f2b3,1,52,Welcome,"{name} is 1 now :birthday:, CONGRATULATIONS!",ALL,human
1007,c452dd1b-a291-4b06-aee7-6d78ecaf3305,1,52,Visit Reminder,:point_right: Don't forget it's time for {name}'s 1 year checkup! The Dr. will talk to you about how {name} is growing & what to expect this year.,ALL,human
1008,8c798c17-d531-40ff-aefd-91d8975f434b,1,53,Nutrition,"Now that {name} is 1 he/she can start drinking milk :baby_bottle:! For most kids ages 1-2, whole milk is usually best. Talk to the Dr. about what milk to drink.",ALL,human
1009,b40d7f1e-64ea-4f22-a443-6ee0646acfe2,1,54,Nutrition,"Is {name} :baby: still breastfeeding? Great! Continue breastfeeding as long as mom & child enjoy it, visit http://bit.ly/r7HioU",ALL,human
1010,6361f506-f51b-4136-ae0c-79fa37a2ea66,1,55,Nutrition,":clap: Celebrate this week! Now that {name} is 1, he/she is ready to drink from a cup instead of a bottle. Have fun picking out a big kid cup.",ALL,human
1011,a2fa195a-8cdb-437b-9280-9ac5c5a8105e,1,56,Nutrition,Letting {name} feed himself/herself during meals can help from over-eating. Put down a towel for an easy cleanup.,ALL,human
1012,c61a7db4-3559-42bd-859d-bac10f590ab0,1,57,Nutrition,"It's true, you are {name}'s super hero! :heart: Tell {name} what YOU eat to get the best super hero energy. It may sound funny but kids love it! ",ALL,human
1013,6b129619-a640-409e-a602-20eab7852eff,1,58,Nutrition,Parenting is a busy job! Take time when you grocery shop to pick out easy to eat on-the-go healthy snacks like a banana :banana: or whole grain cereal.,ALL,human
1014,665d6d5d-181f-46db-a20a-2527815b2dee,1,59,Visit Reminder,Don't forget it's time for {name}'s 15 month well child visit! Bring questions about temper tantrums & picky eating!,ALL,human
1015,831b7ae9-85b0-40b6-9275-1a56bca58d0e,1,60,Nutrition,"We know you're a family on the go, but try to only dine out :knife_fork_plate: once a week. If dining out, try chicken (or equivalent) :poultry_leg: and pick fruit :green_apple: as a side.",ALL,human
1016,c597567f-013e-49ea-b88f-31346d5a8e6b,1,61,Nutrition,"Lowfat milk :baby_bottle: & water :droplet: are the best drink choices for {name}, but we all need variety! Limit sugar-sweetened drinks like soda to special occasions. ",ALL,human
1017,6b8552d1-a29d-49c4-a466-49e492f7e604,1,62,Nutrition,Do your kids drink juice? :watermelon: :grape: :pineapple: Here are some tips 1) Make sure its 100% fruit juice (without added sugar) 2) Keep it to 4-6 oz (120-180 mL) a day.,ALL,human
1018,d28592d1-c7a4-434c-836c-b5281ccd8ed4,1,63,Nutrition,Toddlers like to copy everything you do. Demonstrate healthy habits you want them to learn like eating fruit for snacks & walking :walking: after dinner.,ALL,human
1019,9bab6c74-4a0f-4c9b-8774-4322b9467b91,1,64,Physical Activity,Need some ideas for active games? Your childcare provider will have ideas or visit http://bit.ly/1FnDhpu for suggestions on physical activities.,ALL,human
1020,527b0b3b-3f2f-4760-a704-0850be3c2908,1,65,Nutrition,"If {name} can shovel sand, he/she can be taught to serve himself/herself food. :knife_fork_plate: He/She might be a little messy at first but this is an important skill!",ALL,human
1021,1717a3a6-9841-46b4-9ee3-6d772b7fdd49,1,66,Physical Activity,Activity idea! Play freeze dance. :dancer: Put on {name}'s favorite music :notes: and take turns turning it off and on!,ALL,human
1022,091da9c7-2839-415a-9e27-123aafed7000,1,67,Nutrition,Children on the move and eating don't mix! Help prevent choking by making sure {name} sits down when eating or drinking. Visit http://bit.ly/Ra18iX,ALL,human
1023,3f3146eb-930f-4def-aafb-76da69030847,1,68,Nutrition,You are not alone! Almost every toddler has a picky eating phase. Tips: 1) Try to be patient 2) Give healthy food 3) Talk to other parents for tips.,ALL,human
1024,ef2be773-11ba-4ec7-b66c-ba0e0ccf8653,1,69,Nutrition,Did you know that some kids fill up on beverages :tropical_drink: & then don't want to try eating new foods. If you are trying out a new food give it with water :droplet:.,ALL,human
1025,20e30fef-bfb4-46c5-8243-e32419f4ef5b,1,70,Visit Reminder,Its time for {name}'s 18 month well child :baby: visit! Bring your questions about {name}'s behavior & vocabulary.,ALL,human
1026,e0674f42-a0e2-4208-a59a-330d856d5acc,1,71,Nutrition,"Did you know toddlers :baby: may need to try a new food 10-15 times over several months, sounds like a lot right! Visit http://bit.ly/NgphPp for ideas.",ALL,human
